iter	Passed	Remaining
400	19242	28743
401	19291	28697
402	19340	28650
403	19390	28606
404	19442	28563
405	19489	28514
406	19539	28469
407	19583	28415
408	19634	28371
409	19677	28316
410	19725	28268
411	19771	28217
412	19820	28170
413	19871	28127
414	19914	28072
415	19964	28027
416	20005	27969
417	20042	27906
418	20098	27868
419	20143	27816
420	20189	27766
421	20240	27722
422	20287	27674
423	20339	27631
424	20389	27585
425	20431	27529
426	20483	27486
427	20521	27425
428	20560	27366
429	20608	27318
430	20658	27272
431	20704	27222
432	20761	27186
433	20804	27132
434	20850	27081
435	20898	27033
436	20943	26981
437	20984	26924
438	21030	26875
439	21075	26822
440	21124	26776
441	21171	26727
442	21217	26677
443	21271	26637
444	21321	26592
445	21373	26549
446	21411	26489
447	21461	26443
448	21504	26389
449	21555	26345
450	21602	26296
451	21650	26249
452	21698	26201
453	21747	26154
454	21789	26099
455	21839	26054
456	21888	26007
457	21932	25955
458	21978	25905
459	22025	25855
460	22068	25801
461	22112	25750
462	22162	25704
463	22206	25652
464	22250	25599
465	22297	25550
466	22347	25505
467	22395	25457
468	22448	25416
469	22499	25371
470	22541	25317
471	22587	25267
472	22630	25214
473	22675	25162
474	22728	25121
475	22770	25067
476	22815	25015
477	22861	24965
478	22910	24919
479	22960	24873
480	23000	24817
481	23046	24768
482	23094	24720
483	23143	24673
484	23194	24628
485	23234	24573
486	23281	24524
487	23328	24475
488	23375	24427
489	23421	24377
490	23464	24324
491	23510	24275
492	23556	24225
493	23598	24171
494	23648	24125
495	23691	24073
496	23742	24029
497	23784	23975
498	23832	23927
499	23879	23879
500	23931	23836
501	23976	23785
502	24018	23732
503	24055	23673
504	24101	23624
505	24145	23573
506	24189	23521
507	24225	23462
508	24270	23412
509	24319	23365
510	24366	23317
511	24414	23269
512	24458	23218
513	24510	23175
514	24552	23122
515	24599	23073
516	24641	23021
517	24694	22978
518	24742	22931
519	24795	22888
520	24842	22839
521	24884	22786
522	24925	22733
523	24972	22684
524	25017	22635
525	25064	22586
526	25107	22534
527	25163	22494
528	25210	22446
529	25258	22398
530	25311	22356
531	25362	22311
532	25404	22258
533	25450	22209
534	25499	22163
535	25545	22114
536	25586	22060
537	25629	22009
538	25680	21964
539	25734	21922
540	25784	21876
541	25830	21827
542	25870	21773
543	25915	21723
544	25957	21671
545	26005	21623
546	26051	21574
547	26104	21531
548	26157	21488
549	26204	21440
550	26256	21395
551	26301	21346
552	26344	21294
553	26388	21244
554	26431	21193
555	26477	21144
556	26518	21090
557	26562	21040
558	26614	20996
559	26659	20946
560	26702	20895
561	26757	20853
562	26803	20805
563	26844	20751
564	26890	20703
565	26943	20659
566	27005	20622
567	27048	20572
568	27092	20521
569	27133	20468
570	27178	20419
571	27227	20373
572	27275	20325
573	27327	20281
574	27366	20227
575	27432	20193
576	27488	20152
577	27535	20103
578	27599	20068
579	27711	20066
580	27847	20082
581	27911	20046
582	27971	20006
583	28030	19967
584	28076	19917
585	28117	19864
586	28163	19814
587	28202	19760
588	28249	19711
589	28294	19662
590	28341	19613
591	28387	19564
592	28436	19516
593	28488	19471
594	28535	19423
595	28587	19378
596	28640	19333
597	28692	19288
598	28740	19240
599	28793	19195
600	28836	19144
601	28875	19090
602	28927	19045
603	28986	19004
604	29055	18970
605	29105	18923
606	29154	18876
607	29207	18831
608	29259	18785
609	29311	18740
610	29366	18696
611	29431	18658
612	29490	18618
613	29535	18568
614	29588	18522
615	29628	18469
616	29672	18419
617	29713	18366
618	29756	18315
619	29804	18267
620	29853	18219
621	29896	18168
622	29935	18115
623	29986	18068
624	30028	18017
625	30075	17968
626	30120	17918
627	30170	17871
628	30216	17822
629	30260	17772
630	30310	17725
631	30355	17675
632	30400	17625
633	30451	17579
634	30497	17530
635	30544	17481
636	30591	17432
637	30641	17385
638	30692	17339
639	30737	17289
640	30788	17243
641	30831	17192
642	30876	17142
643	30918	17091
644	30967	17043
645	31019	16998
646	31085	16959
647	31164	16928
648	31227	16888
649	31284	16845
650	31337	16799
651	31383	16750
652	31433	16703
653	31483	16656
654	31529	16607
655	31571	16555
656	31614	16504
657	31653	16452
658	31702	16404
659	31745	16353
660	31792	16305
661	31840	16256
662	31890	16209
663	31943	16164
664	31984	16112
665	32029	16062
666	32073	16012
667	32121	15964
668	32166	15914
669	32208	15863
670	32257	15816
671	32308	15769
672	32351	15718
673	32392	15667
674	32439	15619
675	32483	15568
676	32524	15517
677	32572	15469
678	32610	15416
679	32656	15367
680	32702	15318
681	32752	15271
682	32800	15223
683	32846	15174
684	32911	15134
685	32952	15083
686	32996	15033
687	33044	14985
688	33089	14936
689	33140	14889
690	33193	14843
691	33242	14796
692	33289	14747
693	33334	14698
694	33378	14647
695	33431	14602
696	33474	14551
697	33517	14501
698	33570	14456
699	33620	14408
700	33671	14361
701	33721	14314
702	33764	14264
703	33814	14217
704	33869	14172
705	33916	14123
706	33993	14087
707	34048	14042
708	34097	13994
709	34147	13947
710	34200	13901
711	34244	13851
712	34293	13804
713	34340	13755
714	34387	13706
715	34431	13657
716	34476	13607
717	34525	13560
718	34574	13512
719	34625	13465
720	34671	13416
721	34715	13366
722	34765	13319
723	34813	13271
724	34857	13221
725	34902	13172
726	34945	13122
727	34990	13073
728	35038	13025
729	35079	12974
730	35129	12927
731	35182	12881
732	35227	12831
733	35272	12782
734	35318	12733
735	35359	12683
736	35410	12636
737	35468	12591
738	35507	12540
739	35554	12492
740	35599	12443
741	35646	12394
742	35693	12346
743	35749	12300
744	35793	12251
745	35841	12203
746	35894	12157
747	35937	12107
748	35982	12058
749	36029	12009
750	36074	11960
751	36135	11916
752	36197	11873
753	36251	11827
754	36312	11783
755	36370	11738
756	36420	11691
757	36472	11644
758	36517	11595
759	36563	11546
760	36620	11500
761	36667	11452
762	36712	11403
763	36762	11355
764	36798	11304
765	36846	11256
766	36901	11209
767	36948	11161
768	36996	11113
769	37042	11064
770	37091	11016
771	37148	10971
772	37195	10922
773	37233	10871
774	37285	10824
775	37329	10775
776	37382	10728
777	37433	10681
778	37480	10632
779	37526	10584
780	37569	10534
781	37613	10485
782	37661	10437
783	37704	10388
784	37761	10342
785	37808	10293
786	37862	10247
787	37910	10199
788	37956	10150
789	38010	10104
790	38058	10055
791	38105	10007
792	38156	9960
793	38201	9911
794	38261	9866
795	38337	9825
796	38401	9781
797	38464	9736
798	38528	9692
799	38590	9647
800	38647	9601
801	38711	9557
802	38773	9512
803	38819	9463
804	38867	9415
805	38919	9367
806	38965	9318
807	39023	9272
808	39074	9225
809	39125	9177
810	39188	9132
811	39245	9086
812	39295	9038
813	39358	8993
814	39423	8948
815	39485	8903
816	39544	8857
817	39604	8811
818	39653	8763
819	39710	8716
820	39776	8672
821	39839	8627
822	39897	8580
823	39962	8535
824	40019	8488
825	40066	8440
826	40114	8391
827	40188	8348
828	40271	8306
829	40328	8259
830	40382	8212
831	40522	8182
832	40581	8135
833	40648	8090
834	40713	8045
835	40773	7998
836	40842	7953
837	40896	7906
838	40959	7859
839	41015	7812
840	41062	7763
841	41111	7714
842	41169	7667
843	41241	7622
844	41303	7576
845	41367	7530
846	41421	7482
847	41474	7434
848	41530	7386
849	41587	7338
850	41646	7291
851	41697	7243
852	41762	7197
853	41817	7149
854	41879	7102
855	41967	7059
856	42035	7014
857	42081	6964
858	42134	6916
859	42186	6867
860	42293	6827
861	42360	6781
862	42412	6732
863	42470	6685
864	42533	6638
865	42585	6589
866	42636	6540
867	42688	6491
868	42758	6445
869	42807	6396
870	42862	6348
871	42920	6300
872	42985	6253
873	43038	6204
874	43098	6156
875	43153	6108
876	43212	6060
877	43281	6014
878	43334	5965
879	43394	5917
880	43439	5867
881	43499	5819
882	43545	5769
883	43594	5720
884	43645	5671
885	43706	5623
886	43755	5574
887	43811	5525
888	43858	5476
889	43912	5427
890	43966	5378
891	44022	5330
892	44074	5281
893	44120	5231
894	44161	5180
895	44214	5132
896	44274	5083
897	44325	5034
898	44372	4985
899	44428	4936
900	44475	4886
901	44546	4839
902	44596	4790
903	44649	4741
904	44697	4691
905	44749	4642
906	44796	4593
907	44841	4543
908	44889	4493
909	44932	4443
910	44978	4394
911	45016	4343
912	45064	4294
913	45111	4244
914	45163	4195
915	45210	4145
916	45256	4096
917	45304	4046
918	45357	3997
919	45400	3947
920	45449	3898
921	45499	3849
922	45544	3799
923	45594	3750
924	45638	3700
925	45676	3650
926	45727	3600
927	45774	3551
928	45818	3501
929	45866	3452
930	45918	3403
931	45970	3354
932	46022	3304
933	46075	3255
934	46129	3206
935	46179	3157
936	46225	3108
937	46279	3058
938	46322	3009
939	46367	2959
940	46411	2909
941	46455	2860
942	46503	2810
943	46544	2761
944	46592	2711
945	46640	2662
946	46689	2613
947	46744	2564
948	46785	2514
949	46833	2464
950	46882	2415
951	46928	2366
952	46974	2316
953	47035	2267
954	47075	2218
955	47124	2168
956	47170	2119
957	47211	2069
958	47259	2020
959	47309	1971
960	47360	1922
961	47408	1872
962	47448	1823
963	47495	1773
964	47538	1724
965	47584	1674
966	47630	1625
967	47685	1576
968	47738	1527
969	47793	1478
970	47842	1428
971	47892	1379
972	47946	1330
973	47992	1281
974	48039	1231
975	48085	1182
976	48137	1133
977	48193	1084
978	48239	1034
979	48279	985
980	48330	936
981	48401	887
982	48444	837
983	48508	788
984	48559	739
985	48618	690
986	48670	641
987	48721	591
988	48773	542
989	48830	493
990	48886	443
991	48970	394
992	49018	345
993	49070	296
994	49132	246
995	49183	197
996	49233	148
997	49282	98
998	49335	49
999	49399	0
